Comment,Designator,Footprint,LCSC
1uF,C1,Capacitor_SMD:C_0402_1005Metric,C52923
33nF,C10,Capacitor_SMD:C_0402_1005Metric,C1585
1nF,C11,Capacitor_SMD:C_0402_1005Metric,C1523
2.2nF,C13,Capacitor_SMD:C_0402_1005Metric,C1531
12pF,"C12,C14",Capacitor_SMD:C_0402_1005Metric,C1547
4.7pF,C15,Capacitor_SMD:C_0402_1005Metric,C1569
1.5pF,C16,Capacitor_SMD:C_0402_1005Metric,C1552
1.0pF,C17,Capacitor_SMD:C_0402_1005Metric,C1550
100nF,"C2,C3,C4,C7",Capacitor_SMD:C_0402_1005Metric,C1525
10uF,"C5,C6,C18",Capacitor_SMD:C_0603_1608Metric,C19702
10nF,"C8,C9",Capacitor_SMD:C_0402_1005Metric,C15195
100mA,F1,Fuse:Fuse_1206_3216Metric_Castellated,C369154
100R @ 100MHz,FB1,Inductor_SMD:L_0805_2012Metric,C1015
8.2nH,L1,Inductor_SMD:L_0402_1005Metric,C16208
2.7nH,L2,Inductor_SMD:L_0402_1005Metric,C27123
3.9nH,L3,Inductor_SMD:L_0402_1005Metric,C14033
GR,LD1,LED_SMD:LED_0603_1608Metric,C72043
YE,LD2,LED_SMD:LED_0603_1608Metric,C72038
1k,"R1,R2",Resistor_SMD:R_0402_1005Metric,C11702
22k,"R3,R4",Resistor_SMD:R_0402_1005Metric,C25768
1M,R5,Resistor_SMD:R_0402_1005Metric,C26083
5k1,"R6,R7",Resistor_SMD:R_0402_1005Metric,C25905
XC6206P332MR,U1,Package_TO_SOT_SMD:SOT-23,C5446
USBLC6-2SC6,U2,Package_TO_SOT_SMD:SOT-23-6,C7519
STM32L432KBUx,U3,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C94784
nRF24L01P,U4,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C8791
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
